Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
"Monsters, Inc. ",Pete Docter,92,Steve Buscemi,John Ratzenberger,James Coburn,289907418,115000000,2001
The Wolverine ,James Mangold,138,Hugh Jackman,Tao Okamoto,Rila Fukushima,132550960,120000000,2013
Star Wars: Episode I - The Phantom Menace ,George Lucas,136,Natalie Portman,Liam Neeson,Ian McDiarmid,474544677,115000000,1999
The Croods ,Kirk De Micco,98,Ryan Reynolds,Emma Stone,Nicolas Cage,187165546,135000000,2013
Asterix at the Olympic Games ,Frédéric Forestier,116,Alain Delon,Santiago Segura,Vanessa Hessler,,78000000,2008
Windtalkers ,John Woo,153,Nicolas Cage,Roger Willie,Noah Emmerich,40911830,115000000,2002
The Huntsman: Winter's War ,Cedric Nicolas-Troyan,120,Chris Hemsworth,Sam Claflin,Charlize Theron,47952020,115000000,2016
Teenage Mutant Ninja Turtles ,Jonathan Liebesman,101,Noel Fisher,Danny Woodburn,Jeremy Howard,190871240,125000000,2014
Gravity ,Alfonso Cuarón,91,Phaldut Sharma,Basher Savage,Amy Warren,274084951,100000000,2013
Dante's Peak ,Roger Donaldson,108,Jamie Renée Smith,Grant Heslov,Tzi Ma,67155742,116000000,1997
Teenage Mutant Ninja Turtles: Out of the Shadows ,Dave Green,112,Stephen Amell,Noel Fisher,Brad Garrett,81638674,135000000,2016
Fantastic Four ,Josh Trank,100,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,56114221,120000000,2015
Night at the Museum ,Shawn Levy,108,Robin Williams,Rami Malek,Steve Coogan,250863268,110000000,2006
San Andreas ,Brad Peyton,114,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,155181732,110000000,2015
Tomorrow Never Dies ,Roger Spottiswoode,119,Vincent Schiavelli,Colin Salmon,Joe Don Baker,125332007,110000000,1997
The Patriot ,Roland Emmerich,142,Heath Ledger,Adam Baldwin,Tom Wilkinson,113330342,110000000,2000
Ocean's Twelve ,Steven Soderbergh,125,Brad Pitt,Julia Roberts,Mini Anden,125531634,110000000,2004
Mr. & Mrs. Smith ,Doug Liman,126,Brad Pitt,Angelina Jolie Pitt,Stephanie March,186336103,120000000,2005
Insurgent ,Robert Schwentke,119,Kate Winslet,Theo James,Mekhi Phifer,129995817,110000000,2015
The Aviator ,Martin Scorsese,170,Leonardo DiCaprio,Adam Scott,Frances Conroy,102608827,110000000,2004
Gulliver's Travels ,Rob Letterman,85,James Corden,Catherine Tate,Olly Alexander,42776259,112000000,2010
The Green Hornet ,Michel Gondry,119,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,98780042,120000000,2011
The A-Team             ,,60,George Peppard,Dirk Benedict,Dwight Schultz,,,
300: Rise of an Empire ,Noam Murro,102,Eva Green,Sullivan Stapleton,Peter Mensah,106369117,110000000,2014
The Smurfs ,Raja Gosnell,103,Mahadeo Shivraj,Tim Gunn,Madison McKinley,142614158,110000000,2011
Home on the Range ,Will Finn,76,Steve Buscemi,Roseanne Barr,G.W. Bailey,50026353,110000000,2004
Allegiant ,Robert Schwentke,120,Naomi Watts,Theo James,Zoë Kravitz,66002193,110000000,2016
Real Steel ,Shawn Levy,127,Hugh Jackman,Torey Michael Adkins,Olga Fonda,85463309,110000000,2011
The Smurfs 2 ,Raja Gosnell,105,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,71017784,105000000,2013
Speed 2: Cruise Control ,Jan de Bont,121,Jason Patric,Temuera Morrison,Lois Chiles,48068396,160000000,1997
Ender's Game ,Gavin Hood,114,Harrison Ford,Moises Arias,Aramis Knight,61656849,110000000,2013
Live Free or Die Hard ,Len Wiseman,129,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,134520804,110000000,2007
The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,171,Christopher Lee,Orlando Bloom,Billy Boyd,313837577,93000000,2001
Around the World in 80 Days ,Frank Coraci,120,Jim Broadbent,Steve Coogan,Cécile De France,24004159,110000000,2004
Ali ,Michael Mann,165,Will Smith,Jada Pinkett Smith,Joe Morton,58183966,107000000,2001
The Cat in the Hat ,Bo Welch,82,Sean Hayes,Kelly Preston,Spencer Breslin,100446895,109000000,2003
"I, Robot ",Alex Proyas,115,Will Smith,Bruce Greenwood,Chi McBride,144795350,120000000,2004
Kingdom of Heaven ,Ridley Scott,194,Liam Neeson,Orlando Bloom,Philip Glenister,47396698,130000000,2005
Stuart Little ,Rob Minkoff,84,Chazz Palminteri,Nathan Lane,Jeffrey Jones,140015224,133000000,1999
The Princess and the Frog ,Ron Clements,97,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,104374107,105000000,2009
The Martian ,Ridley Scott,151,Matt Damon,Donald Glover,Benedict Wong,228430993,108000000,2015
"10,000 B.C.             ",Christopher Barnard,22,Mathew Buck,,,,,
The Island ,Michael Bay,136,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,35799026,126000000,2005
Town & Country ,Peter Chelsom,104,Del Zamora,Warren Beatty,Garry Shandling,6712451,90000000,2001
Gone in Sixty Seconds ,Dominic Sena,127,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,101643008,90000000,2000
Gladiator ,Ridley Scott,171,Djimon Hounsou,Connie Nielsen,Oliver Reed,187670866,103000000,2000
Minority Report ,Steven Spielberg,145,Tom Cruise,Frank Grillo,Jessica Capshaw,132014112,102000000,2002
Harry Potter and the Chamber of Secrets ,Chris Columbus,174,Daniel Radcliffe,Rupert Grint,Emma Watson,261970615,100000000,2002
Casino Royale ,Martin Campbell,144,Eva Green,Tobias Menzies,Ivana Milicevic,167007184,150000000,2006
Planet of the Apes ,Tim Burton,119,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,180011740,100000000,2001
Terminator 2: Judgment Day ,James Cameron,153,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,204843350,102000000,1991
Public Enemies ,Michael Mann,140,Johnny Depp,Christian Bale,Stephen Graham,97030725,100000000,2009
American Gangster ,Ridley Scott,176,Denzel Washington,Ruby Dee,RZA,130127620,100000000,2007
True Lies ,James Cameron,141,Jamie Lee Curtis,Tia Carrere,Tom Arnold,146282411,115000000,1994
The Taking of Pelham 1 2 3 ,Tony Scott,106,Denzel Washington,Ramon Rodriguez,Michael Rispoli,65452312,100000000,2009
Little Fockers ,Paul Weitz,98,Robert De Niro,Blythe Danner,Teri Polo,148383780,100000000,2010
The Other Guys ,Adam McKay,116,Dwayne Johnson,Will Ferrell,Derek Jeter,119219978,100000000,2010
Eraser ,Chuck Russell,115,Vanessa Williams,James Coburn,Roma Maffia,101228120,100000000,1996
Django Unchained ,Quentin Tarantino,165,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,162804648,100000000,2012
The Hunchback of Notre Dame ,Gary Trousdale,91,Demi Moore,Jason Alexander,Bill Fagerbakke,100117603,100000000,1996
The Emperor's New Groove ,Mark Dindal,78,Eartha Kitt,Wendie Malick,John Fiedler,89296573,100000000,2000
The Expendables 2 ,Simon West,103,Jason Statham,Sylvester Stallone,Bruce Willis,85017401,92000000,2012
National Treasure ,Jon Turteltaub,131,Nicolas Cage,Armando Riesco,Annie Parisse,173005002,100000000,2004
Eragon ,Stefen Fangmeier,104,Djimon Hounsou,Ed Speleers,Gary Lewis,75030163,100000000,2006
Where the Wild Things Are ,Spike Jonze,101,Catherine O'Hara,Ryan Corr,Max Records,77222184,100000000,2009
Pan ,Joe Wright,111,Hugh Jackman,Cara Delevingne,Nonso Anozie,34964818,150000000,2015
Epic ,Chris Wedge,102,Josh Hutcherson,Emma Kenney,Troy Evans,107515297,100000000,2013
The Tourist ,Florian Henckel von Donnersmarck,103,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,67631157,100000000,2010
End of Days ,Peter Hyams,121,CCH Pounder,Mark Margolis,Udo Kier,66862068,83000000,1999
Blood Diamond ,Edward Zwick,143,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,57366262,100000000,2006
The Wolf of Wall Street ,Martin Scorsese,240,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,116866727,100000000,2013
Batman Forever ,Joel Schumacher,121,Michael Gough,Rene Auberjonois,Debi Mazar,184031112,100000000,1995
Starship Troopers ,Paul Verhoeven,129,Jake Busey,Patrick Muldoon,Seth Gilliam,54700065,105000000,1997
Cloud Atlas ,Tom Tykwer,172,Tom Hanks,Jim Sturgess,Jim Broadbent,27098580,102000000,2012
Legend of the Guardians: The Owls of Ga'Hoole ,Zack Snyder,101,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,55673333,80000000,2010
Catwoman ,Pitof,87,Frances Conroy,Christopher Heyerdahl,Alex Borstein,40198710,100000000,2004
Hercules ,Brett Ratner,101,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,72660029,100000000,2014
Treasure Planet ,Ron Clements,95,Joseph Gordon-Levitt,Martin Short,Michael Wincott,38120554,140000000,2002
Land of the Lost ,Brad Silberling,102,Will Ferrell,Anna Friel,Bobb'e J. Thompson,49392095,100000000,2009
The Expendables 3 ,Patrick Hughes,131,Jason Statham,Sylvester Stallone,Harrison Ford,39292022,90000000,2014
Point Break ,Ericson Core,114,Ray Winstone,Edgar Ramírez,Delroy Lindo,28772222,105000000,2015
Son of the Mask ,Lawrence Guterman,94,Jamie Kennedy,Traylor Howard,Ben Stein,17010646,84000000,2005
In the Heart of the Sea ,Ron Howard,122,Chris Hemsworth,Benjamin Walker,Frank Dillane,24985612,100000000,2015
The Adventures of Pluto Nash ,Ron Underwood,95,Rosario Dawson,Randy Quaid,Burt Young,4411102,100000000,2002
Green Zone ,Paul Greengrass,115,Matt Damon,Sean Huze,Igal Naor,35024475,100000000,2010
The Peanuts Movie ,Steve Martino,88,Francesca Capaldi,Venus Schultheis,Bill Melendez,130174897,99000000,2015
The Spanish Prisoner ,David Mamet,110,Ben Gazzara,Felicity Huffman,Campbell Scott,10200000,10000000,1997
The Mummy Returns ,Stephen Sommers,130,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,202007640,98000000,2001
Gangs of New York ,Martin Scorsese,216,Leonardo DiCaprio,Liam Neeson,Jim Broadbent,77679638,100000000,2002
The Flowers of War ,Yimou Zhang,146,Christian Bale,Ni Ni,Shigeo Kobayashi,9213,94000000,2011
Surf's Up ,Ash Brannon,85,Jeff Bridges,Zooey Deschanel,Jon Heder,58867694,100000000,2007
The Stepford Wives ,Frank Oz,93,Jon Lovitz,Matthew Broderick,Roger Bart,59475623,90000000,2004
Black Hawk Down ,Ridley Scott,152,Ioan Gruffudd,Sam Shepard,Ewen Bremner,108638745,92000000,2001
The Campaign ,Jay Roach,85,Will Ferrell,Thomas Middleditch,Katherine LaNasa,86897182,95000000,2012
The Fifth Element ,Luc Besson,126,Milla Jovovich,Bruce Willis,Gary Oldman,63540020,93000000,1997
Sex and the City 2 ,Michael Patrick King,146,Chris Noth,Liza Minnelli,Kristin Davis,95328937,100000000,2010
The Road to El Dorado ,Bibo Bergeron,89,Frank Welker,Rosie Perez,Elton John,50802661,95000000,2000
Ice Age: Continental Drift ,Steve Martino,88,Peter Dinklage,Josh Gad,Drake,161317423,95000000,2012
Cinderella ,Kenneth Branagh,105,Hayley Atwell,Derek Jacobi,Lily James,201148159,95000000,2015
The Lovely Bones ,Peter Jackson,135,Michael Imperioli,AJ Michalka,Tom McCarthy,43982842,65000000,2009
Finding Nemo ,Andrew Stanton,100,Alexander Gould,Stephen Root,Brad Garrett,380838870,94000000,2003
The Lord of the Rings: The Return of the King ,Peter Jackson,192,Orlando Bloom,Billy Boyd,Bernard Hill,377019252,94000000,2003
The Lord of the Rings: The Two Towers ,Peter Jackson,172,Christopher Lee,Orlando Bloom,Billy Boyd,340478898,94000000,2002
Seventh Son ,Sergey Bodrov,102,Jeff Bridges,Djimon Hounsou,Olivia Williams,17176900,95000000,2014
Lara Croft: Tomb Raider ,Simon West,100,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,131144183,115000000,2001
Transcendence ,Wally Pfister,119,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,23014504,100000000,2014
Jurassic Park III ,Joe Johnston,92,Michael Jeter,Trevor Morgan,Alessandro Nivola,181166115,93000000,2001
Rise of the Planet of the Apes ,Rupert Wyatt,105,James Franco,David Oyelowo,Tyler Labine,176740650,93000000,2011
The Spiderwick Chronicles ,Mark Waters,107,Martin Short,Tod Fennell,Joan Plowright,71148699,90000000,2008
A Good Day to Die Hard ,John Moore,101,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,67344392,92000000,2013
The Alamo ,John Lee Hancock,137,Dennis Quaid,Marc Blucas,Jordi Mollà,22406362,107000000,2004
The Incredibles ,Brad Bird,115,Holly Hunter,Craig T. Nelson,Lou Romano,261437578,92000000,2004
Cutthroat Island ,Renny Harlin,124,Christopher Masterson,Frank Langella,Matthew Modine,11000000,98000000,1995
Percy Jackson & the Olympians: The Lightning Thief ,Chris Columbus,118,Logan Lerman,Rosario Dawson,Steve Coogan,88761720,95000000,2010
Men in Black ,Barry Sonnenfeld,98,Will Smith,Rip Torn,Linda Fiorentino,250147615,90000000,1997
Toy Story 2 ,John Lasseter,82,Tom Hanks,John Ratzenberger,Wayne Knight,245823397,90000000,1999
Unstoppable ,Tony Scott,98,Denzel Washington,Rosario Dawson,Ethan Suplee,81557479,100000000,2010
Rush Hour 2 ,Brett Ratner,90,Mei Melançon,John Lone,Harris Yulin,226138454,90000000,2001
What Lies Beneath ,Robert Zemeckis,130,Harrison Ford,Amber Valletta,Miranda Otto,155370362,100000000,2000
Cloudy with a Chance of Meatballs ,Phil Lord,90,Will Forte,Bobb'e J. Thompson,Al Roker,124870275,100000000,2009
Ice Age: Dawn of the Dinosaurs ,Carlos Saldanha,94,Denis Leary,Maile Flanagan,Kelly Keaton,196573705,90000000,2009
The Secret Life of Walter Mitty ,Ben Stiller,114,Adam Scott,Adrian Martinez,Joey Slotnick,58229120,90000000,2013
Charlie's Angels ,McG,94,Bill Murray,LL Cool J,Kelly Lynch,125305545,92000000,2000
The Departed ,Martin Scorsese,151,Leonardo DiCaprio,Matt Damon,Ray Winstone,132373442,90000000,2006
Mulan ,Tony Bancroft,88,Ming-Na Wen,Harvey Fierstein,June Foray,120618403,90000000,1998
Tropic Thunder ,Ben Stiller,121,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson,110416702,92000000,2008
The Girl with the Dragon Tattoo ,David Fincher,158,Robin Wright,Goran Visnjic,Joely Richardson,102515793,90000000,2011
Die Hard with a Vengeance ,John McTiernan,128,Bruce Willis,Aldis Hodge,Kevin Chamberlin,100012500,90000000,1995
Sherlock Holmes ,Guy Ritchie,128,Robert Downey Jr.,Eddie Marsan,Robert Maillet,209019489,90000000,2009
Ben-Hur ,Timur Bekmambetov,141,Morgan Freeman,Ayelet Zurer,Moises Arias,,,2016
Atlantis: The Lost Empire ,Gary Trousdale,95,Leonard Nimoy,Jim Varney,Cree Summer,84037039,120000000,2001
Alvin and the Chipmunks: The Road Chip ,Walt Becker,92,Bella Thorne,Joshua Mikel,Jesse McCartney,85884815,90000000,2015
Valkyrie ,Bryan Singer,121,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,83077470,75000000,2008
You Don't Mess with the Zohan ,Dennis Dugan,113,Adam Sandler,Sayed Badreya,Kevin Nealon,100018837,90000000,2008
Pixels ,Chris Columbus,106,Peter Dinklage,Adam Sandler,Josh Gad,78747585,88000000,2015
A.I. Artificial Intelligence ,Steven Spielberg,146,Haley Joel Osment,William Hurt,Kevin Sussman,78616689,100000000,2001
The Haunted Mansion ,Rob Minkoff,88,Marsha Thomason,Rachael Harris,Marc John Jefferies,75817994,90000000,2003
Contact ,Robert Zemeckis,150,Matthew McConaughey,Tom Skerritt,Larry King,100853835,90000000,1997
Hollow Man ,Paul Verhoeven,119,Greg Grunberg,Kim Dickens,Joey Slotnick,73209340,95000000,2000
The Interpreter ,Sydney Pollack,128,Curtiss Cook,George Harris,Michael Wright,72515360,80000000,2005
Percy Jackson: Sea of Monsters ,Thor Freudenthal,106,Logan Lerman,Leven Rambin,Brandon T. Jackson,68558662,90000000,2013
Lara Croft Tomb Raider: The Cradle of Life ,Jan de Bont,117,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,65653758,95000000,2003
Now You See Me 2 ,Jon M. Chu,129,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,64685359,90000000,2016
The Saint ,Phillip Noyce,116,Alun Armstrong,Michael Byrne,Velibor Topic,61355436,68000000,1997
Spy Game ,Tony Scott,114,Brad Pitt,Stephen Dillane,Catherine McCormack,26871,92000000,2001
Mission to Mars ,Brian De Palma,114,Don Cheadle,Connie Nielsen,Kim Delaney,60874615,90000000,2000
Rio ,Carlos Saldanha,96,Anne Hathaway,Wanda Sykes,Will.i.am,143618384,90000000,2011
Bicentennial Man ,Chris Columbus,132,Robin Williams,Oliver Platt,John Michael Higgins,58220776,100000000,1999
Volcano ,Mick Jackson,104,Don Cheadle,Anne Heche,Gaby Hoffmann,47474112,90000000,1997
The Devil's Own ,Alan J. Pakula,111,Harrison Ford,Brad Pitt,Natascha McElhone,42877165,86000000,1997
K-19: The Widowmaker ,Kathryn Bigelow,138,Liam Neeson,Christian Camargo,Lex Shrapnel,35168677,100000000,2002
Fantastic Four ,Josh Trank,100,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,56114221,120000000,2015
Conan the Barbarian ,John Milius,129,William Smith,Mako,Sandahl Bergman,37567440,20000000,1982
Cinderella Man ,Ron Howard,144,Paddy Considine,Bruce McGill,Rosemarie DeWitt,61644321,88000000,2005
The Nutcracker in 3D ,Andrey Konchalovskiy,110,Shirley Henderson,Nathan Lane,Richard E. Grant,190562,90000000,2010
Seabiscuit ,Gary Ross,140,Jeff Bridges,Michael Angarano,Michael O'Neill,120147445,87000000,2003
Twister ,Jan de Bont,113,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,241688385,92000000,1996
The Fast and the Furious ,Rob Cohen,106,Paul Walker,Vin Diesel,Jordana Brewster,144512310,38000000,2001
Cast Away ,Robert Zemeckis,143,Tom Hanks,Paul Sanchez,Nick Searcy,233630478,90000000,2000
Happy Feet ,George Miller,108,Robin Williams,Hugh Jackman,Elizabeth Daily,197992827,100000000,2006
The Bourne Supremacy ,Paul Greengrass,108,Matt Damon,Joan Allen,Oksana Akinshina,176049130,75000000,2004
Air Force One ,Wolfgang Petersen,124,Harrison Ford,Gary Oldman,Dean Stockwell,172620724,85000000,1997
Ocean's Eleven ,Steven Soderbergh,116,Brad Pitt,Bernie Mac,Elliott Gould,183405771,85000000,2001
The Three Musketeers ,Paul W.S. Anderson,110,Milla Jovovich,Logan Lerman,Orlando Bloom,20315324,75000000,2011
Hotel Transylvania ,Genndy Tartakovsky,91,Steve Buscemi,Adam Sandler,Jon Lovitz,148313048,85000000,2012
Enchanted ,Kevin Lima,107,Jeff Bennett,Teala Dunn,Fred Tatasciore,127706877,85000000,2007
Hannibal             ,,44,Caroline Dhavernas,Scott Thompson,Hettienne Park,,,
Safe House ,Daniel Espinosa,115,Denzel Washington,Ryan Reynolds,Sam Shepard,126149655,85000000,2012
102 Dalmatians ,Kevin Lima,100,Ioan Gruffudd,Eric Idle,Jim Carter,66941559,85000000,2000
Tower Heist ,Brett Ratner,104,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,78009155,75000000,2011
The Holiday ,Nancy Meyers,138,Kate Winslet,Rufus Sewell,Sarah Parish,63224849,85000000,2006
Enemy of the State ,Tony Scott,140,Will Smith,Jake Busey,Lisa Bonet,111544445,90000000,1998
It's Complicated ,Nancy Meyers,120,Meryl Streep,Hunter Parrish,Zoe Kazan,112703470,85000000,2009
Ocean's Thirteen ,Steven Soderbergh,122,Al Pacino,Matt Damon,Brad Pitt,117144465,85000000,2007
Open Season ,Roger Allers,83,Jon Favreau,Debra Messing,Jane Krakowski,84303558,85000000,2006
Divergent ,Neil Burger,139,Kate Winslet,Theo James,Mekhi Phifer,150832203,85000000,2014
Enemy at the Gates ,Jean-Jacques Annaud,131,Bob Hoskins,Gabriel Thomson,Clemens Schick,51396781,68000000,2001
The Rundown ,Peter Berg,104,Dwayne Johnson,Rosario Dawson,Ewen Bremner,47592825,85000000,2003
Last Action Hero ,John McTiernan,130,F. Murray Abraham,Tom Noonan,Joan Plowright,50016394,70000000,1993
Memoirs of a Geisha ,Rob Marshall,145,Li Gong,Mako,Karl Yune,57010853,85000000,2005
The Fast and the Furious: Tokyo Drift ,Justin Lin,104,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,62494975,85000000,2006
Arthur Christmas ,Sarah Smith,97,Jim Broadbent,Imelda Staunton,Michael Palin,46440491,100000000,2011
Meet Joe Black ,Martin Brest,178,Anthony Hopkins,Brad Pitt,Jake Weber,44606335,90000000,1998
Collateral Damage ,Andrew Davis,108,Raymond Cruz,Rick Worthy,Jsu Garcia,40048332,85000000,2002
All That Jazz ,Bob Fosse,123,Roy Scheider,Ben Vereen,Max Wright,,,1979
Mirror Mirror ,Tarsem Singh,106,Julia Roberts,Nathan Lane,Danny Woodburn,64933670,85000000,2012
Scott Pilgrim vs. the World ,Edgar Wright,112,Anna Kendrick,Kieran Culkin,Ellen Wong,31494270,60000000,2010
The Core ,Jon Amiel,135,Glenn Morshower,Tchéky Karyo,Rekha Sharma,31111260,60000000,2003
Nutty Professor II: The Klumps ,Peter Segal,109,Larry Miller,Janet Jackson,Chris Elliott,123307945,65000000,2000
Scooby-Doo ,Raja Gosnell,86,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.,153288182,84000000,2002
Dredd ,Pete Travis,95,Wood Harris,Jason Cope,Rakie Ayola,13401683,35000000,2012
Click ,Frank Coraci,107,Adam Sandler,Cameron Monaghan,Julie Kavner,137340146,70000000,2006
Creepshow ,George A. Romero,130,Ted Danson,Hal Holbrook,Adrienne Barbeau,,8000000,1982
Cats & Dogs: The Revenge of Kitty Galore ,Brad Peyton,82,Jack McBrayer,Sean Hayes,Katt Williams,43575716,85000000,2010
